Human	Mouse
P56696	Q9JK97
Q9NUQ8	Q8K268
Q9HCM7	E9Q9T0
Q7Z3Z4	Q8CGT6
Q8WY54	Q80TL0
Q96PV6	Q8CBY3
P80108	O70362
Q68DH5	Q8C561
Q8N5D0	Q80ZK9
Q96T83	Q8BLV3
P00751	P04186
P00751	B8JJN0
Q5SXM2	Q8BP86
Q92560	Q99PU7
P05107	P11835
Q13976	P0C605
Q9P0L9	A2A259
P10911	A2AEU1
Q5T2E6	Q6PD19
Q5PRF9	Q80XS6
Q96II8	Q8BVU0
Q9NYJ8	Q99K90
P00488	Q8BH61
Q5VIR6	Q8CCB4
Q9NZJ0	Q3TLR7
P41250	Q9CZD3
P55290	Q9WTR5
Q9NRH2	Q8VDU5
P53794	Q9JKZ2
Q9Y6B7	Q9WV76
Q13207	Q60707
P48449	Q8BLN5
Q6P4Q7	Q69ZF7
Q8N556	Q80YS6
Q9Y496	P28741
P23469	P49446
Q6UXK2	Q5RKR3
Q6NSJ0	Q69ZQ1
Q7L1I2	Q8BG39
Q8WZA1	Q91X88
A8MPP1	Q6AXC6
Q92771	Q6AXC6
Q96FC9	Q6AXC6
P10643	D3YXF5
O43395	Q922U1
Q96CP6	Q8VEF1
Q9UKA1	Q8C2S5
Q2VPB7	Q3TAP4
Q6NXG1	Q3US41
Q6SZW1	Q6PDS3
Q9H6T0	Q8K0G8
Q9UGT4	Q9DBX3
P57058	O88866
Q16853	O70423
Q9H5Z1	A2ACQ1
Q8N895	Q6NS86
Q5TCX8	Q8VDG6
O14746	O70372
Q14050	A2ACT7
P48067	P28571
Q6ZUX3	Q3TYG6
Q6NSI8	Q68FF0
Q969R5	P59178
Q8NG08	Q6NVF4
Q7L7V1	Q8BZS9
Q99708	Q80YR6
O75843	O88512
Q6PCB5	D3Z0K6
Q06187	P35991
Q05516	Q3UQ17
Q8IZ83	Q571I9
Q8IV61	Q6NZH9
Q68CQ4	Q8BTT6
Q8IWA4	Q811U4
Q9HCM1	Q5DTW7
O95352	Q9D906
Q8TB52	Q8BJL1
Q9BYJ1	Q9WV07
O14640	P51141
P41002	P51944
Q13586	P70302
Q6NUI2	Q14DK4
Q13127	Q8VIG1
Q8NFW9	Q8K3I4
Q6ZN28	E9PXX8
Q13214	Q62177
Q13769	Q8BKT7
Q8IWA5	Q8BY89
Q8IWZ6	Q8K2G4
P78362	O54781
Q9P0U4	Q9CWW7
P33993	Q61881
Q8IUH5	Q80TN5
Q9HBX9	Q6R6I7
P55291	P33146
P78563	Q91ZS8
Q96SI9	Q91WM1
Q96PD2	Q91ZV3
Q9Y3Q0	Q9CZR2
P33402	F8VQK3
A6NGG8	Q6PAC4
Q05209	P35831
P40692	Q9JK91
Q12864	Q9R100
Q9HBT7	Q9EQB9
P15884	Q60722
Q6P4F7	Q80Y19
O75112	Q9JKS4
O94776	Q9R190
O00571	Q62167
O15226	Q8BY02
Q9P2Y4	Q6IQX8
Q9H1D0	Q91WD2
P27816	P27546
Q8IYI6	Q6PGF7
O43526	Q9Z351
O43264	O54692
P35612	Q9QYB8
P0CG48	P0CG50
P56975	O35181
P33897	P48410
Q8TAP6	Q0VEJ0
Q5T0F9	Q8BRN9
O94808	Q9Z2Z9
Q9GZR7	Q9ESV0
O15060	Q6PDK0
P12755	Q60698
Q92841	Q501J6
Q86SF2	Q80VA0
Q9UJC3	Q8BIL5
Q9NP60	Q9ERS6
Q765P7	Q6P9S0
Q8N3F8	Q8BGT6
Q8NI77	Q91WD7
P40939	Q8BMS1
Q8IW93	Q8BWA8
Q14694	P52479
Q9BSC4	Q5RJG1
Q96AE4	Q91WJ8
Q9H6E5	Q8R3F9
Q8WVZ9	G5E8C2
Q32P28	Q3V1T4
Q9H7T0	A2RTF1
Q7Z417	Q5F2E7
Q5TB30	Q8CIG0
Q86SG6	Q91ZR4
P07384	O35350
O75746	Q8BH59
Q96EN8	Q14CH1
Q8TBC3	Q6P7W2
Q9BQI7	Q6P1I6
Q8NFM7	Q8JZL1
Q9UEY8	Q9QYB5
Q6AI14	Q8BUE1
Q7Z402	Q8C428
Q8N3R9	Q9JLB2
Q9NR61	Q9JI71
A6ND36	Q5SWY7
Q04609	O35409
Q68DV7	Q5NCP0
Q14151	Q80YR5
Q2QGD7	Q8C8V1
Q6ZSS7	Q8CBH5
Q9BXC9	Q9CWF6
P07197	P08553
O15234	Q8K3W3
Q16891	Q8CAQ8
O00459	O08908
P09917	P48999
Q86Y56	B9EJR8
Q8IVU3	F2Z461
P49848	Q62311
Q8N1W2	Q3U288
Q99676	Q7TSH9
Q9UKU0	Q91WC3
B2RC85	E9PYQ0
P0C881	E9PYQ0
Q8IXZ2	D3Z081
Q8IXZ2	Q8CHP0
P23142	Q08879
P48029	Q8VBW1
Q99805	P58021
Q9NV88	Q8K114
Q9Y2J4	Q8K371
Q9UGJ1	Q9D4F8
Q8TBB1	O70263
O43155	Q8BLU0
Q9UK32	Q7TPS0
Q9UF56	Q9QZN1
Q7Z388	A2AJQ3
Q8WXW3	E9Q6K3
Q3MII6	A1A5B6
Q03692	Q05306
Q9HCS5	P52963
Q9NVU0	Q9CZT4
Q9UK17	Q9Z0V1
P11678	P49290
P35626	Q3UYH7
Q5BKX6	Q0P5V9
P51659	P51660
Q5VVJ2	Q69Z66
O60563	Q9QWV9
Q969S9	Q8R2Q4
Q8WUQ7	Q9CS00
O15344	O70583
O75309	O88338
Q9H6R0	Q80VY9
Q9H1I8	Q91WR3
O43301	Q8K0U4
O43390	Q8VHM5
Q9BXS0	Q99MQ5
P0C869	P0C871
E7EW31	Q3UKG2
Q14162	Q5ND28
Q8NDX1	Q8BLR5
Q96CT2	Q80T74
Q13480	Q9QYY0
Q6ZW31	Q9DBZ9
Q9BYT8	Q91YP2
Q5VTL7	A2AED3
O75069	Q80W04
Q9C0H6	B1AZR0
Q7Z4F1	Q7TQH7
Q14CN2	Q3UW98
Q14CN2	Q6Q473
P53667	P53668
P48740	P98064
Q6P2H3	Q8BMK0
Q92615	Q6A0A2
Q5T601	Q8VEC3
Q99081	Q61286
Q8N5G2	Q7TQE6
Q58F21	Q91Y44
Q14676	Q5PSV9
Q7Z304	Q8CG85
Q9Y2I9	Q69ZT9
Q9BZL4	Q3UMT1
Q96M96	Q91ZT5
Q9Y6A1	Q8R2R1
Q9H3S1	Q62178
Q6ZSY5	Q9JIG4
Q9HCJ2	Q8C031
Q9NUY8	Q8K0F1
P0C7T5	P0C7T6
Q7Z2T5	A2RSY6
Q709F0	Q80XL6
Q8TF42	Q8BGG7
P38646	P38647
P46934	P46935
Q8IUR7	Q9DBR3
A4D1B5	Q3TCV3
P57679	P57680
O75325	Q6PHP6
O94830	Q80Y98
O14744	Q8CIG8
O96005	Q8VBZ3
Q6ZTQ4	Q8BL00
Q99549	Q3TYA6
Q96BJ8	Q8BYZ7
Q8IW35	Q9CZ62
Q9HBW1	Q99PH1
O95834	Q7TNG5
Q53ET0	Q3U182
Q7L590	Q0VBD2
Q96PK6	Q8C2Q3
Q96FV9	Q8R3N6
P31040	Q8K2B3
Q9NP80	Q8K1N1
O75342	O70582
P10074	Q1H9T6
Q9P2G3	Q69ZK5
Q9H334	P58462
Q9H6R3	Q14DH7
Q14161	Q9JLQ2
Q9NQV7	Q96EQ9
Q9Y6Y0	Q920Q8
Q9Y216	Q9Z2C9
O00178	O08582
P81408	Q5HZJ5
Q96S59	P69566
Q8TBZ2	Q5SUV2
Q9HBM0	Q3ZK22
Q9BZW7	Q6NY15
O94925	D3Z7P3
O95631	O09118
P14859	P25425
Q6ZPD9	Q71B07
Q9NVU7	Q80UZ2
O60583	Q7TQK0
P04049	Q99N57
Q6ZSI9	Q9ER56
O76094	F8VQC1
O60506	Q7TMK9
Q5JQC9	Q60662
Q96TA2	O88967
Q9NPB8	Q8C0L9
Q96N46	Q9CSP9
Q8IYT2	Q8BWQ4
Q9H1K0	Q80Y56
Q96RN1	Q8R0C3
Q96MM6	Q9CZJ2
P98169	A2CE44
P98168	A2CE44
O75925	O88907
O43313	Q6P9S1
Q7RTX1	Q99PG6
Q9NZC9	Q8BJL0
P45844	Q64343
Q9Y6Q1	O35646
Q9NT22	P59900
Q8IVL6	Q8CG70
Q9Y2J8	Q08642
Q969X6	Q8R2N2
Q9P2N7	Q80TF4
Q9UJS0	Q9QXX4
Q6ZMV9	E9PX57
Q96BP3	Q8CEC6
Q0VG06	A2ACJ2
P16435	P37040
Q05BQ5	Q6P5G3
Q13613	Q9Z2C4
Q2TBE0	Q8BG79
P51512	Q9WTR0
Q9H7D7	Q8C6G8
P85037	P42128
P22459	Q61423
Q9H307	O35691
Q70CQ1	Q6P9L4
Q3KR16	Q8R0J1
Q8IVL5	Q8CG71
Q86UA1	Q8K2Z2
Q96SM3	Q9Z100
Q9UBT6	Q9QUG2
Q96RS0	Q923W1
Q96RS0	J3QP10
O95644	O88942
Q05655	P28867
O14523	Q80X80
Q13144	Q8CHW4
Q96GX5	Q8C0P0
Q6ZTR5	B1AY26
Q05469	P54310
A1A5C7	Q3UHH2
P16519	P21661
P98082	P98078
Q14872	Q07243
P08582	Q9R0R1
Q9P2M4	Q8CGA2
P54802	O88325
Q92750	G5E8Z2
Q86YV9	Q8BLY7
O43304	B2RXM5
P05164	P11247
O75106	Q812C9
Q04671	Q62052
P05165	Q91ZA3
Q9H091	Q8C0R7
O14830	O35385
Q5GH76	Q5GH67
Q2NL67	Q6P6P7
Q96PR1	Q14B80
Q86V87	Q80YR2
Q7Z3E1	Q8C1B2
Q92544	Q8BH24
Q96ST2	Q8C1D8
Q96GD3	Q8K214
Q9UNK9	Q8VCU0
P11142	P63017
P28288	P55096
P48378	P48379
Q92542	P57716
Q16821	Q99MR9
Q96F45	Q7TMA2
P51116	Q9WVR4
Q9UHV5	Q68EF8
Q9Y2W2	Q923D5
Q14137	P97452
Q96Q25	P97452
Q8NHY6	P10078
Q9UPT5	O35250
Q8N6M6	Q8BXQ6
Q96EB6	Q923E4
A2VCL2	Q0VG85
P52747	O70230
P26927	P26928
Q13049	Q8CH72
O94844	Q9DAK3
O43524	Q9WVH4
Q13614	Q9Z2D1
O75157	E9Q7M2
P11021	P20029
Q6TDP4	Q6TDP3
Q8IYQ7	Q8BH55
Q5HYK7	Q91X43
Q9NQU5	Q3ULB5
Q96S55	Q91XU0
Q9NR71	Q9JHE3
P28698	A1L358
Q9BZQ8	Q3UW53
Q9NZU0	Q8BGT1
Q92581	A1L3P4
Q14241	Q8CB77
Q8WWI5	Q6X893
Q8N0Z3	Q8C804
Q99884	Q6PGE7
Q96DM3	Q8VC42
Q96GR2	Q99PU5
Q2TB10	Q0VEE6
Q6NUN9	Q3U133
Q9Y468	A2A5N8
Q9Y5E9	Q91XZ9
O95936	O54839
P19801	Q8JZQ5
Q96JM7	Q8BLB7
Q9UJ14	Q99JP7
O60476	P39098
P11940	P29341
Q7RTS9	Q8CHY3
Q9P2K2	Q7TN22
Q9UI46	Q8C0M8
Q02108	Q9ERL9
Q6Y2X3	Q921R4
Q96S15	Q8CFJ9
Q9HB63	Q9JI33
Q9NZQ3	Q9ESJ4
Q8TC92	Q8BHR2
Q5TAT6	Q9R1N9
Q86XL3	Q6P1H6
Q8WVC0	Q5XJE5
Q86UX7	Q8K1B8
Q9NZU1	Q6RKD8
Q9NVM4	Q922X9
O60299	A2AHG0
Q3MJ16	Q50L42
Q9BVA0	Q8BG40
Q9HDC5	Q9ET80
P08133	P14824
Q09019	Q08274
Q16280	Q62398
Q8N448	Q91XL2
Q9NZV8	Q9Z0V2
Q8IY47	G3X9X1
Q8NBF2	Q8BZW8
Q5T890	Q9JIM3
Q9P2J3	Q6ZPT1
Q96JM3	Q8K327
Q96N76	Q8VC12
Q7Z353	Q14B70
Q86YC2	Q3U0P1
Q495T6	Q9JLI3
Q9Y463	Q9Z188
P33121	P41216
Q86Y01	Q61010
P13797	Q99K51
Q86YR5	Q6IR34
Q9UBT7	O88327
Q8N2M8	Q8CFC7
O75665	Q80Z25
P49959	Q61216
Q6UWE0	Q80ZI6
Q9UQC2	Q9Z1S8
Q8N6R0	Q91YR5
Q9H981	Q8R2S9
O14576	O88485
O75916	O54828
P23743	O88673
Q13492	Q7M6Y3
Q6IA69	Q711T7
Q9UP38	O70421
Q9NQI0	Q61496
Q9UK73	Q9Z2G0
Q9Y5E5	Q91XZ5
Q9Y5E5	E9Q5G2
Q9Y5E5	Q8CDY9
Q9P2H0	Q0VBV7
Q9Y5R2	Q9R0S2
O15062	Q7TQG0
Q96NJ5	A2AJX0
Q9UNN5	P54731
Q9H172	Q91WA9
Q9HC58	Q99PD7
Q5FWF5	Q69Z69
P52888	Q8C1A5
Q4G0X9	Q8BI79
Q8WU17	Q7TMV1
Q86V21	Q9D2R0
O60602	Q9JLF7
Q96HI0	Q6NXL6
Q96T51	Q8BIJ7
Q9P2S6	Q8C0W1
Q9Y5P4	Q9EQG9
O15484	O08688
Q6PJG9	Q80XU8
Q9UBL3	Q91X20
Q5GH73	E9Q6C8
Q9Y6X2	O54714
Q8WXD0	Q91ZZ5
O15069	Q5SWP3
O00327	Q9WTL8
Q96RD6	Q6IMP4
Q6UWX4	Q9D2G9
Q99661	Q922S8
O95932	Q8BM11
Q17RS7	Q8BMI4
Q86WN1	Q6PFY1
Q8IXI2	Q8BG51
Q53GT1	Q99JN2
Q8N3C7	Q8CI96
Q8TD17	Q8BV16
Q96JJ6	Q80WT0
Q16348	Q9ES07
Q7RTX0	Q925D8
Q6JEL2	Q9D5V2
Q8TC07	Q9CXF4
Q4G0U5	A9Q751
O43299	Q3U829
Q9H8L6	A6H6E2
Q12816	Q6DIC6
Q13310	Q6PHQ9
Q6VN20	Q6VN19
Q96B97	Q8R550
Q8N4P2	Q9CY00
Q8N4P2	A2AKQ8
Q8N4P2	Q99J38
Q86WT1	Q9CY00
Q86WT1	A2AKQ8
Q86WT1	Q99J38
P42357	P35492
P17844	Q61656
O14815	Q9D805
P48066	P31650
Q15637	Q64213
Q9UDV7	E9PVC2
O75326	Q9QUR8
Q70EL2	Q8K387
Q9UG63	Q99LE6
P42680	P24604
Q68CJ6	D3YY21
O95251	Q5SVQ0
P48506	P97494
P57059	Q60670
Q5W0Q7	Q3ULM6
P78424	Q8BJI4
Q9UH90	P62932
Q96D09	Q8BUY8
Q96M94	A2AAX3
Q9P266	Q5DTX6
Q9NQW7	Q6P1B1
Q9UGH3	Q9EPR4
A2RUB6	Q6NS45
P29973	P29974
Q68BL8	Q3V1G4
Q16822	Q8BH04
Q8NEN0	Q3URY6
Q96N64	Q69Z61
Q92611	Q925U4
Q96FE5	Q9D1T0
Q9H6S3	Q99K30
A4FU01	Q3V1L6
P02545	P48678
Q02153	O54865
Q68DD2	Q50L41
Q6T4P5	Q7TPB0
Q16799	Q8K0T0
Q15326	Q8R5C8
Q9HCU0	Q91V98
Q9NS39	Q9JI20
P43354	Q06219
Q13823	Q99LH1
Q86XH1	Q9CUL5
Q8TE23	Q925I4
Q9BTA9	Q924H7
Q9NVC6	Q8VCD5
Q9NYF0	Q8R4A3
Q9Y5E4	Q91VE5
Q9Y5E4	Q91UZ8
Q9Y5E4	Q91XZ4
Q9Y5E4	Q91XZ2
Q9Y5E4	Q91XZ6
Q9Y5E4	F6V243
P54652	P17156
Q15582	P82198
O15195	Q91YD6
Q5GFL6	Q70UZ7
Q8WUM9	Q61609
Q96MT1	Q5SWK7
Q14746	Q921L5
Q9Y297	Q3ULA2
Q12778	Q9R1E0
Q9BQ70	Q8R3L2
Q9BTE3	Q8R3C0
Q9P2Y5	Q8C0K8
Q9Y5E6	Q91XZ7
O75152	Q6NZF1
O94952	Q8VDH1
Q2PZI1	A6X919
Q5VTH9	E9PYY5
O43548	Q9D7I9
Q96C24	Q9R0Q1
Q9UKV5	Q9R049
O60216	Q61550
Q155Q3	Q80Y83
P49757	Q9QZS3
Q6P3V2	P10077
Q52M93	P10077
P00736	Q8CG16
P00736	Q8CFG9
A6NCM1	A6H690
P51511	O54732
P33981	P35761
P81274	Q8VDU0
Q6TFL4	Q8BRG6
Q9Y2J0	P47708
P42898	Q9WU20
Q86VD1	Q9WVL5
Q9Y2M5	Q8VCK5
Q9NUB1	Q99NB1
P13796	Q61233
Q12797	Q8BSY0
Q9NSA2	Q03719
Q96JP0	Q8CEF1
Q9NY59	Q9JJY3
Q9Y6X3	Q9D2X5
C9JLR9	Q4VA45
Q9H9P5	Q5FWH2
Q8WVM8	Q8BRF7
P23945	P35378
A1YPR0	Q8VCZ7
Q9NW82	Q3TWF6
P53671	O54785
Q8IVH2	Q9DBY0
Q9ULX6	Q9R0L7
P31641	O35316
O60353	Q61089
Q14435	P70419
Q8TAT6	P60670
Q5T6C5	Q8C8K6
Q5T0N5	Q8K012
Q96HN2	Q68FL4
Q14145	Q9Z2X8
Q9NW15	Q8BH79
Q86YJ7	Q5F259
Q5MCW4	Q80W31
Q9UN67	Q91Y02
Q9Y5E1	Q91Y02
Q5U5Q3	Q05A36
Q13042	Q8R349
Q8IUZ0	Q91YK0
Q6PJP8	Q9JIC3
Q9UJV9	Q91VN6
Q06124	P35235
Q07617	Q80ZX8
P31639	Q923I7
Q6P9A2	Q8K1B9
Q9UQQ1	Q7M758
Q96T88	Q8VDF2
Q9BR39	Q9ET78
Q9P2F9	Q9ERR8
O00116	Q8C0I1
Q7Z5Q5	Q7TQ07
Q86TD4	Q7TQ48
Q71RC2	Q8BWW4
Q6P1M0	Q91VE0
Q9BRZ2	Q80VI1
A2A3K4	Q6NZK8
O75928	Q8C5D8
Q5UE93	Q3U6Q4
Q8N271	Q3UUY6
Q6UWL6	Q7TSU7
Q99759	Q61084
Q8TE68	Q8R5F8
Q99959	Q9CQ73
Q9Y5E3	Q91Y06
P30531	P31648
P17014	Q7TSI0
Q8WYA0	O35594
P54136	Q9D0I9
Q9NSG2	Q3TQQ9
P40879	Q9WVC8
Q96K58	Q8K2R5
Q9ULW8	Q9Z184
Q01167	Q3UCQ1
Q9BQL6	P59113
Q9BW92	Q3UQ84
Q8TDW5	Q80T23
Q9BTN0	Q8BLY3
Q9NQS7	Q9WU62
P56645	O70361
Q99797	A6H611
Q8ND24	Q8BFU3
Q8IUR6	Q8CDG5
Q9BW27	Q8R480
Q9Y5S1	Q9WTR1
P20916	P20917
Q6ZUT3	A2AD83
Q6NUI6	E9Q7T7
O94876	Q69ZZ6
Q6IS24	Q7TT15
Q9UPW0	Q8BUR3
Q9NR30	Q9JIK5
O43345	Q80VN4
O43345	Q4QQP3
O43345	B8JJX8
Q05481	Q80VN4
Q05481	Q4QQP3
Q05481	B8JJX8
A6NN14	Q80VN4
A6NN14	Q4QQP3
A6NN14	B8JJX8
A8MXY4	Q80VN4
A8MXY4	Q4QQP3
A8MXY4	B8JJX8
P33908	P45700
P41743	Q62074
Q96SF7	O70306
O15321	Q9DBU0
Q12931	Q9CQN1
Q9Y5E2	Q91Y04
Q9Y2C9	Q9EPW9
A6NHC0	Q91VA3
Q96PX1	Q3TEL6
Q96RQ3	Q99MR8
P08107	Q61696
P08107	P17879
P31645	Q60857
Q96SB4	O70551
Q86SR1	Q6P9S7
O94923	Q9EPS3
P46059	Q9JIP7
Q6Q0C0	Q922B6
Q96KR4	Q8BMN4
Q5T5J6	Q9DBQ9
Q9BRK4	Q91YU6
Q9BZE4	Q99ME9
Q9UN66	Q91Y03
Q9Y5F0	Q91Y03
Q08289	Q8CC27
Q8TF50	Q8BI66
Q9NYB5	Q9ERB5
P35869	P30561
Q14246	Q61549
Q9NQR7	Q3UHB8
Q496Y0	Q9D4H7
Q9H720	Q91YL7
Q9Y5E7	Q91Y00
Q9Y4R8	Q9DC40
P38606	P50516
Q8NFY9	Q3UQV5
Q8NFI3	Q8BX80
Q9UN76	Q9JMA9
O75083	O88342
Q14028	E9PXX0
P33151	P55284
Q96ME1	E9PYR1
Q14190	Q61079
Q9H4W6	O08791
P08240	Q9DBG7
Q8WV44	Q5NCC3
Q9H116	Q4VBD9
Q9Y2U5	Q61083
Q9HCM4	Q8BGS1
P14866	Q8R081
O95197	Q9ES97
Q9P2G9	P59280
Q9Y450	Q69ZS7
Q9H2C0	Q8CA72
Q9NX78	Q8BMD6
Q9NZ52	Q8BMI3
Q9C000	Q67EY4
Q9C000	A1Z198
P23975	O55192
P51813	P97504
O75820	Q8BKP2
Q99941	O35451
Q7Z403	Q7TN60
Q8IVB4	Q8BZ00
Q8IUH4	Q9CWU2
Q9P2N2	Q8BN58
Q9P1Z2	Q8CGU1
Q9NV66	Q8BJM7
Q6NUM6	Q8BJM7
P21980	P21981
P43405	P48025
Q8NCU4	J3QQ27
Q8TE96	Q924H9
Q13409	O88487
Q6NUT2	P0CW70
Q5TEA6	Q3V172
Q08357	Q80UP8
O76031	Q9JHS4
O60331	O70161
P34931	P16627
P54278	P54279
P61221	P61222
Q68DK7	Q6PDM1
Q8N9R8	Q8C8N2
Q96N23	Q8C6S9
Q96RR1	Q8CIW5
Q9HCN3	Q9ESN3
Q15311	Q62172
Q6ZRK6	Q8CDM4
Q7L2J0	Q8K3A9
Q9Y483	Q02395
Q8N5V2	Q8CHT1
Q8NEU8	Q8K3G9
Q9H511	Q8BWA5
A6NNM8	A4Q9F6
Q03721	Q8R1C0
Q6PCE3	Q8CAA7
Q96ED9	Q7TMK6
Q92994	Q8CFK2
Q9HD45	Q9ET30
P43403	P43404
Q8IYK4	Q6NVG7
Q7Z739	Q8BYK6
Q6ISB3	Q8K5C0
Q16134	Q921G7
Q9BY84	Q6PCP3
Q8WWL2	Q8K1S6
Q9Y2E6	Q6PDK8
Q9NYW8	Q8BQC8
Q9UKA2	Q8BH70
O15117	O35601
Q08050	O08696
Q8N196	P70178
Q6ZQN7	Q8BGD4
Q14164	Q9R0T8
Q9H4A4	Q8VCT3
Q9UBT2	Q9Z1F9
P50542	O09012
O60285	Q641K5
Q08881	Q03526
P50443	Q62273
P46199	Q91YJ5
Q96BD5	Q6ZPK0
Q8TDF6	Q8BTM9
Q86X55	Q9WVG6
P12757	Q60665
Q8NFF2	Q8CGQ8
Q96Q07	Q8C726
Q9UQ84	Q9QZ11
P10242	P06876
P54803	P54818
P02786	Q62351
Q7L985	Q3URE9
O94955	Q9CTN4
Q66K74	Q8C052
O95202	Q9Z2I0
Q8NBF6	Q80U56
Q8TEC5	Q8BZT2
O14682	O35709
Q8IYS2	Q91X21
Q96NE9	Q8C0V9
Q9P242	Q8BM65
Q7Z7F0	Q3TCX3
P13196	Q8VC19
Q9UH73	Q07802
Q8NCE2	Q8VEL2
Q9BU23	Q8C3X8
P10244	P48972
P23786	P52825
P36915	P36916
P23588	Q8BGD9
O95198	Q8JZP3
Q9H267	P59016
Q05682	E9QA15
P20393	Q3UV55
Q96T21	Q3U1C4
Q9Y5E8	Q91XZ8
O75969	O88987
Q71H61	E9Q9U5
Q6PJG6	Q8C3R1
Q8WZ60	Q6V595
P35558	Q9Z2V4
Q9UJP4	Q3U410
Q5JST6	Q9D485
Q9Y2G4	Q69ZU8
Q7LDG7	Q9QUG9
P29401	P40142
Q15569	O70146
O43164	Q80U04
P59044	Q91WS2
Q53GD3	Q91VA1
Q9H2S9	Q8C208
Q96M69	Q9D5S7
Q9Y5A9	Q91YT7
Q9Y227	Q9DBT4
Q9Y4X5	Q9Z1K5
Q13467	Q9EQD0
Q5TA45	Q9CWS4
Q86TM6	Q9DBY1
Q9NVP4	Q8C008
Q9BZ11	Q923W9
Q9BSK4	Q9Z2G1
Q9BSK4	Q8C0T1
Q06787	P35922
Q01959	Q61327
Q92630	Q5U4C9
Q9BTX1	Q8VCB1
Q16819	P28825
O43572	O88845
O60942	O55236
P43378	O35239
P51787	P97414
Q9BWU0	E9PX68
P52739	Q8K3J5
O60508	Q9DC48
Q9NPI1	O88665
Q9NQA5	P69744
Q9NQX0	Q3UZD5
Q9H0J9	Q8BZ20
Q92805	Q9CW79
O15353	Q61575
P51114	Q61584
P13866	Q8C3K6
Q2M3M2	Q8VDT1
Q15399	Q9EPQ1
Q9NZI5	Q921D9
P09960	P24527
P18054	P39655
O43900	Q80VL3
O14978	Q8CF60
Q14651	Q3V0K9
O00187	Q91WP0
Q8NE01	Q32NY4
P49321	Q99MD9
Q9UHB9	Q8BMA6
O14867	P97302
P20823	P22361
Q6ZP82	E9Q8Q6
Q7L622	Q5RJY2
Q8N3Y3	Q5XPT3
Q9NQX1	Q9CXE0
Q6UWL2	E9Q3H4
P51693	Q03157
Q15256	Q62132
Q99543	P54103
O75509	Q9EPU5
Q9NRJ7	Q91VD8
P50281	P53690
Q86WZ0	E9Q357
O94842	Q8BU11
Q06455	Q61909
Q15061	Q6ZQL4
Q6PCB7	Q60714
Q99259	P48318
O00144	Q9R216
Q9BX10	Q3UJK4
Q8NFD2	Q8BZ25
Q3ZCT8	Q9D618
Q15067	Q9R0H0
Q9NW13	Q8CGC6
Q9ULC5	Q8JZR0
O15320	Q8R311
Q96RT6	Q8R311
A4D2H0	Q8R311
P0CG41	Q8R311
Q86UF2	Q8R311
A4FU28	Q8R311
Q8IX94	Q8R311
P61764	O08599
Q06481	Q06335
Q8N1V2	Q5F201
Q6PJ61	Q8BG80
Q6UWJ1	Q8BH01
Q96N96	Q5DU57
Q8IWZ8	Q8CH02
Q9H4B4	Q60806
Q9Y2V7	Q8R3I3
Q8IXQ5	Q8BUL5
Q93052	Q8BFW7
Q13111	Q9QWF0
Q14332	Q9JIP6
P47736	A2ALS4
Q8IUC4	Q8BWR8
Q8WWX8	Q8K0E3
O00255	O88559
Q96PZ0	Q91VU7
Q9HCH3	Q8JZW4
P17812	P70698
P22079	Q5SW46
Q16526	P97784
Q9Y6R0	O08919
Q86T24	Q8BN78
Q5W0B1	Q8K2Y0
Q9NQ79	Q8R555
Q16630	Q6NVF9
P49023	Q8VI36
Q9Y5F2	Q91Y01
Q9Y5F1	Q91Y01
Q8IWF6	Q8BH65
Q9H6U8	Q8VDI9
Q7Z4H7	Q6NV99
Q92624	Q9DAX9
Q92570	Q9QZB6
Q05513	Q02956
Q53GL7	Q8CIE4
O60662	A2AUC9
O60941	O70585
Q9H4Q3	E9PZZ1
Q9ULW0	A2APB8
Q86XP0	Q50L43
Q02641	Q8R3Z5
Q86Y91	Q6PFD6
Q6H8Q1	Q8BL65
Q4G0Z9	E9Q956
O75864	Q8BKR5
O94993	Q8CGW4
O14512	Q8VHQ2
Q96NN9	Q3TY86
Q96F46	Q60943
Q9H078	Q60649
P29590	Q60953
Q7Z4Q2	Q8BQM4
Q96CK0	Q6YND2
Q96RU3	Q80TY0
P43155	P47934
O95628	Q8BT14
Q9H159	E9Q3A7
P51170	Q9WU39
Q9HA65	Q8BYH7
P10398	P04627
P56730	O08762
O95677	Q9Z191
Q5TAQ9	Q8N7N5
Q8WWQ2	B2RY83
O95391	Q8BHJ9
O75427	Q921G6
Q9NSD5	P31649
Q8IYR2	Q8BTK5
Q9NUT2	Q9CXJ4
P19113	P23738
Q7Z7L9	Q07230
Q14624	A6X935
P37088	Q61180
Q8IZF5	Q58Y75
Q8IU81	Q8R3Y8
Q8IZE3	Q9DBQ7
Q5HYW2	B1AXH1
P52569	P18581
Q05329	P48320
A1L4K1	Q8BZ52
Q5C9Z4	Q3UFM5
Q49AN0	Q9R194
P22888	P30730
P34947	Q8VEB1
Q96G03	Q7TSV4
P29350	P29351
P53350	Q07832
Q9NYV6	B2RS91
O15350	Q9JJP2
Q99502	P97767
Q96JX3	Q3U213
Q13671	Q921Q7
Q9HCI7	Q69ZF8
Q99501	Q8JZP9
Q9H0E7	Q8C2S0
Q9BYC5	Q9WTS2
Q14677	Q99KN9
Q8NCL4	Q8C7U7
Q9NPC7	Q99MD8
P19338	P09405
P27824	P35564
Q9P2U8	Q8BLE7
Q96AX1	Q9D2N9
