Q7TQD2;O94811
Q8BQU3;Q9NRP4
Q8VC51;Q9BUR4
Q9CQ88;Q12999
Q0VAV2;Q8NEV8
Q61598;P50395
Q99KD5;Q9H3U1
O88987;O75969
Q91V76;Q9H0W9
Q9Z1Z0;O60763
Q3UR32;P56373
Q5DTY9;Q68DU8
Q9D1T5;Q8IV56
P58873;P58872
Q8K4B0;Q13330
Q9D5S7;Q96M69
Q99KW9;Q8TB96
Q80TM9;Q9Y2I1
P63158;P09429
Q9D478;Q9ULJ1
Q8BXF8;Q9BYD9
Q9EPB4;Q9ULZ3
O70138;P22894
Q6P2K3;Q6ZVT6
Q8VDV8;Q8WV92
Q61923;P17658
Q5DTT1;Q5QGS0
Q9D0L4;Q86TW2
Q8CF66;Q0VGL1
Q9D4J7;Q8IWS0
P62748;P37235
Q61647;Q92839
Q8JZY4;O15091
Q64287;Q15306
O55003;Q12983
Q8BHT7;Q92546
Q3U0L2;A6NCL7
P70704;Q9Y2Q0
Q9WUL8;Q96RK1
A4Q9E5;Q9Y4R7
Q8C0P7;Q9Y4E5
Q9JJ78;Q96KB5
Q8CIF4;P43251
Q61096;P24158
Q8VCQ3;Q96F24
Q9CV28;Q9H8M7
Q5SUF2;O95232
Q8R314;Q8WV83
O88998;Q99784
Q9WTZ9;Q00994
Q9Z0H1;O15213
Q9DC77;Q9UHP9
Q9D9V4;Q9H1X1
Q9CWL8;Q8WYA6
Q99MB2;Q15390
P19096;P49327
Q62178;Q9H3S1
P11609;P15813
Q7TMR0;P42785
P48615;O96014
P60603;P60602
Q9JK81;Q9HB07
P81067;P78415
Q91YH5;Q6DD88
P54823;P26196
P18293;P16066
P61211;P40616
Q68EF8;Q9UHV5
Q07105;O60383
Q91Z22;Q8N131
Q9CR86;Q9Y2V2
Q99LJ1;P04066
Q99MK8;P25098
Q61129;P05156
Q14DQ1;Q5XKK7
Q6IRU5;P09497
P31650;P48066
Q91V36;Q9NSY0
O08750;Q16649
Q9ET54;Q8WX93
Q4KMM3;Q8N573
Q64191;P20933
Q62108;P78352
Q9EQN3;Q9Y3Q8
Q08AT1;Q9NYN1
Q9R1X4;Q9UNS1
Q9Z1D8;Q9Y2L8
O70548;O15273
P31725;P06702
P63168;P63167
Q9WU38;P51168
Q8CEZ4;Q08AI8
P31311;P31270
Q9CX80;Q8WWM9
Q8K2L8;Q8WVT3
Q91X05;Q9NP85
Q8K2F8;Q8ND56
P53811;P48739
Q8BQH6;Q5VXM1
Q5NCY3;Q6P9G0
Q8K4K2;Q96RU7
Q7TNG8;Q86WU2
Q9ER75;P78412
Q9WVP1;Q9Y6Q5
P63075;O60258
Q5YD48;Q9NQ94
Q8CGF1;Q52LW3
Q8BWP8;O43505
Q64373;Q07817
Q8BKN6;Q9Y663
Q8BSP2;Q6IBW4
Q762D5;Q76EJ3
Q8VC42;Q96DM3
P06240;P06239
Q9WVJ3;Q9Y646
Q9QZ57;Q12988
Q80VP2;Q9P0W8
Q8BMB3;O60573
P62818;P33764
P29594;P42575
O35657;Q99519
Q9D6S7;Q96E11
Q8BFR2;Q8N475
P59024;Q9NWM8
Q80VW7;Q7Z591
Q7TQH0;Q8WWM7
Q61079;Q14190
Q4JK59;Q6N021
O35973;O15534
Q9DB05;P54920
P50636;Q9NV58
Q5XKE0;Q14324
P70335;Q13464
Q9QZZ6;Q07507
Q5DTL9;Q6U841
P03911;P03905
Q6PFX6;Q86UP0
Q60952;Q9BV73
Q3TNH5;Q8WUF8
Q8VBT1;Q8N3L3
Q8BH60;Q9HD26
A2AG58;A2AJT9
P48787;P19429
Q8VCT9;Q96S53
P61375;Q9H2C1
P62761;P62760
Q9D8W5;O00232
Q08639;Q14186
Q8CAA7;Q6PCE3
Q8BH10;Q96SN7
Q91YJ5;P46199
P53690;P50281
P35285;Q9UL26
Q7TSI0;P17014
Q62288;Q08629
Q9D6T1;Q9UJT0
P61588;P61587
P70665;Q9HAT2
P97430;P03973
Q9JIS5;Q7L0J3
Q6P5E8;P52824
Q9D695;O75635
Q9DCH6;Q6FIF0
Q9CZT8;P20337
Q8R323;P40938
Q3UE31;Q6ICG6
Q9EQH2;Q9NZ08
Q9Z1L2;O95473
Q19LI2;P04217
O54750;P51589
Q3UHD3;Q5JR59
Q9ERL7;O60234
P97478;Q99807
Q9WVJ5;P53674
Q8VCM3;Q9BQ24
Q810B8;Q8IW52
Q8K3F6;O43525
Q9JHF9;Q9Y6Y9
Q8QZV0;Q8WXF8
Q6TXD4;Q6XZF7
Q9CQI9;Q96HR3
O55226;O15335
Q99LJ6;Q96SL4
Q9DCC7;Q96AB3
P63056;Q96PB7
Q8C1Q4;Q9UJH8
Q8CJG1;Q9UL18
Q9DCU6;Q9BYD3
Q9D3R5;A6NFU0
Q9CZM9;Q9Y691
Q8VHP9;Q8WXJ9
P23475;P12956
Q9DAW6;O43172
Q9CQL2;Q8TC90
Q9CX60;Q53QV2
Q8R123;Q8NFF5
Q921J2;Q15382
Q99K48;Q15233
P59280;Q9P2G9
Q9Z260;P56748
P02772;P02771
Q9JMH3;Q9Y3R4
Q9JJF0;Q96NT1
Q04736;P07947
Q8CFJ7;Q8N413
Q61153;P49895
Q8BTZ4;Q9UJX4
Q76EC5;Q7L1S5
Q922Y2;Q8IWR1
Q8BHL3;Q4KMP7
Q6PE01;Q96DI7
P43142;O15218
Q3UYH7;P35626
Q05512;Q7KZI7
P70321;Q92826
Q922S4;O00408
Q5FWC3;Q5J8X5
Q80ZQ5;Q86VZ6
Q8R0F6;Q9H0C8
Q62469;P17301
Q5M8N0;Q96F85
Q6A0D4;Q14699
O35286;O43143
Q8BMW7;Q6NVV3
Q7TPW1;Q0ZGT2
Q9QYC1;Q96RV3
Q9D142;O95848
Q6PGA0;Q9P2K3
Q9JJR6;Q9NQ32
Q9DBW0;Q6ZWL3
Q6W3F0;Q7Z4N8
Q01337;P18825
O70131;Q92982
Q059Y8;Q5T197
Q80WM7;Q8NF86
Q8BW70;Q8NB14
Q9QY61;P78413
P11942;P09693
P61922;P80404
P63300;P63302
Q61114;Q8TDL5
Q921X9;Q14554
P83093;Q9P246
Q3UV70;Q9P0J1
Q8BG94;Q86VX2
Q9ERD8;Q9HBI0
Q6KAQ7;Q8IYH5
Q9DBR0;O43823
P98154;P98153
Q4VAA7;Q8WV41
P25444;P15880
Q5SWP3;O15069
Q9WVM6;Q9Y6L7
O70477;P55347
Q99MT2;O15457
O08859;P98066
Q80XQ2;Q92609
A1A546;Q2M1V0
P56399;P45974
Q8VEG6;Q96LI5
Q3HNM7;Q1MX18
Q3UMG5;Q5VUJ6
Q924Z4;Q96G23
Q9ESL9;Q9NP95
Q9Z238;O96020
Q8C7E9;Q9H0L4
Q9ESF4;Q7Z429
Q9DAQ5;A8MV24
Q5NCP0;Q68DV7
P43275;Q02539
Q8CGF6;O94967
P47879;P22692
Q8CFB4;Q96PP8
Q6KAU4;Q9H7P6
Q91WV0;Q01658
Q8C6Z1;Q8N387
Q9DB75;Q9H305
P70423;Q8WY07
Q8CGE9;O14924
Q8BL48;Q9C0B0
Q8K0G5;Q53HC9
Q9Z1T6;Q9Y2I7
Q99MR6;Q9BXP5
Q61122;Q13506
P61804;P61803
Q5SSW2;Q14997
Q920H1;Q96PL1
Q8BGD7;Q8IUM7
Q921Y0;Q9H8S9
P12961;P05408
P50247;P23526
Q8BQ86;Q9H2A9
Q64249;Q15406
Q8K1B8;Q86UX7
O09174;Q9BXJ4
P62754;P62753
Q03958;O15212
Q9CYI4;Q9NQ29
P97792;P78310
Q8C255;Q9H4A9
Q8K4D7;Q86YW0
Q499D0;O00409
Q04690;P21359
Q8C432;Q8N6D2
Q791N7;Q9P1U0
O88342;O75083
P0CG50;P0CG48
A2A8U2;Q5SNT2
P26151;P12314
Q8QZW2;Q99581
P05627;P05412
Q8BSF5;Q2WGJ6
Q8K2I1;Q8WUH1
Q8BNU0;Q6NXE6
Q9Z0N1;P41091
Q8BGC3;Q6ZSM3
Q61024;P08243
P70689;O95452
Q9Z0J4;P29475
Q6VYH9;Q96JZ2
Q8VGS3;Q8NGP9
P29754;P30556
Q91WA4;Q7LFL8
P70194;Q8N1N0
Q8BZ47;O15014
Q5DU41;Q6P9F7
Q8C031;Q9HCJ2
Q8R2M2;Q5QJE6
Q8BHJ5;Q9BZK7
Q6ZQ11;Q86X52
Q6PFD7;Q69YI7
P35550;P22087
Q8C9H6;Q9ULQ0
Q9JJV2;P35080
P18894;P14920
Q80YA7;Q6V1X1
Q9ER47;Q9NS40
Q6NWW9;Q53EP0
Q9D8E6;P36578
Q9CQA3;P21912
P43006;P43004
Q8BXK9;Q9NZA1
Q8BUR3;Q9UPW0
Q8BTX9;Q3SXM5
Q5NCI0;Q8TCY9
Q9JLM9;Q14449
Q07832;P53350
O08992;O00560
P55065;P55058
Q3UH06;Q92766
Q8K2Q2;Q9H4Y5
P48410;P33897
P70697;P06132
Q9CWU0;Q587J7
Q7TSK7;Q86TH1
Q64368;Q92904
Q8BIQ3;Q9BSG1
P21183;Q01344
Q8BID8;Q8N1E6
Q9EQQ3;Q9BZJ6
Q5DTI6;A0AUZ9
P29788;Q9HB31
Q80WG7;Q9NQ86
Q9CWK3;O95400
Q8CE50;Q5VWJ9
Q8VCE9;Q7Z736
Q78IS1;Q9Y3Q3
Q8BU88;Q9NWU5
Q99JT9;Q9BV57
Q61574;O43638
Q6A078;O15078
Q9ERQ3;Q6ZNC4
Q8K2J7;Q8IUW5
Q9Z320;Q7Z3Y8
Q8K009;Q3SY69
Q8BSV3;Q8N7W2
Q9DAD0;Q5T5A4
Q9JHJ5;O95264
Q3TLS3;Q6ZNW5
Q8BP01;Q2NL98
P01592;P01591
O08705;Q14973
Q8C0X2;Q4ZJI4
P15409;P08100
Q924W9;P25800
Q8BG99;Q96KN3
Q9CQY7;Q15546
Q8BHD0;Q14964
Q8R1F9;O75818
Q5GAM8;Q5GAN4
Q9CYQ7;Q9UHQ1
Q3UMW7;Q16644
Q9Z0S5;P56746
Q8R370;Q8N6Y0
P62315;P62314
P35459;Q14210
Q8BM72;P48723
Q91YX5;Q92604
A2A7Y5;Q5JXC2
P54071;P48735
P0C1T1;P14652
Q8K4F0;Q15762
Q62225;Q9NSE2
P56485;P25106
Q62264;Q92748
Q9ER42;Q9HBU1
Q9JL89;Q9NZG7
O89106;P49789
Q8CJ12;Q8IZP9
P51680;P51679
Q8C419;Q5T848
Q8VE33;Q96MZ0
Q8BM89;Q5FYB0
P22682;P22681
Q80W69;A8MTZ7
Q8CDC7;Q96C00
Q9WUG6;Q9Y5Q6
Q9QXK2;Q9NS91
P49681;P48145
Q5Y5T2;Q9NUE0
Q80YY7;Q5T7W0
Q3U2U7;Q9H7H0
Q6TEK5;Q8N0U8
O89091;Q13118
Q9D4F8;Q9UGJ1
O70146;Q15569
O35185;O14503
Q9QXK7;Q9UKF6
Q9CWY8;O75792
Q99K41;Q9Y6C2
Q9CXB2;Q3KNW5
A8C756;Q6YHU6
Q7TQF2;Q9UK96
Q9CZI9;Q8WTP8
Q8BYH8;Q3L8U1
P43117;P43088
P67984;P35268
O54865;Q02153
Q1LZI2;Q8IY50
Q4LFA9;Q9NS98
Q9D7E3;Q8WZ82
Q62425;O00483
Q921S7;Q9BZE1
Q99M07;Q86WW8
Q99PI8;Q9BZR6
O35717;O14508
Q9JKT3;Q9NYW5
Q8R0T2;Q9H5H4
Q924X7;Q9BYT3
Q9Z2H7;Q8TF65
Q9D024;Q96A33
O09114;P41222
Q9JHK5;P08567
Q924W6;O15016
Q9WUB4;O00399
Q9WTK0;O60356
Q8QZX5;Q969L4
Q9QXH4;P20702
Q69Z66;Q5VVJ2
Q8C7G5;Q6Q788
Q9CWG9;Q6QNY1
B1AUH1;Q92729
Q91VF2;P50135
Q02739;O95377
A6H6A4;A6NIV6
P51860;Q9ULW6
Q811P0;Q495N2
Q8R4B8;Q96P20
Q63870;Q02388
Q80XL1;Q9ULV8
P39654;P16050
Q5EE38;Q96AP0
Q3UM89;Q6PJQ5
Q9D0E1;P52272
P06804;P01375
P47945;P47944
Q8BWN8;Q8N9L9
Q4VBF2;Q96D70
Q8K202;Q9GZS1
Q8QZY6;Q8NG11
O35668;P54257
Q71LX4;Q9Y4G6
Q8BGK6;Q92536
P54830;P54829
Q9Z0E1;Q8TC57
Q8BZ94;Q9H898
Q9D939;O00338
Q9D6G5;Q9NPI0
Q9JJ61;Q8N428
P62823;Q96E17
P53612;P53611
P16294;P00740
Q9Z1W8;P54707
Q7TSF4;Q8NAA5
Q9QZL6;Q9UK80
Q9ER99;Q92681
Q8R191;O43761
Q9D6Z1;O00567
P28650;Q8N142
Q3U3N6;Q96N21
Q64152;P20290
P47810;P30291
Q80X71;Q9NUM4
Q9QXN5;Q9UGB7
Q8BIV3;O60518
Q3UX43;Q8N6S4
Q61312;Q92754
Q9DBS8;Q8NA72
Q9CRW3;Q3KRA6
Q8BWY4;A4D2B0
O35671;O14713
Q99P47;Q9C0A0
Q7TQI3;Q96FW1
Q3UUX7;Q504U0
Q8BS03;O43692
Q9D0F6;P40937
Q9D8I2;Q9BPV8
P27656;P11150
Q8R2W9;Q9H999
Q8BN21;Q86Y07
Q3U827;Q86T96
Q8VDM4;Q13200
O35218;Q9P2I0
Q99K70;Q9HB90
O88200;Q9Y240
Q80YR2;Q86V87
Q3TC33;Q96BQ5
Q02788;P12110
Q8CGV2;Q8IWU9
Q9D2L6;Q8IZF3
P39689;P38936
Q8BW22;O75177
O88379;Q9NRL2
Q9DAV9;Q9NVV0
P97500;Q9UL68
Q3UVV9;A6NCI4
Q64355;O43281
O88713;Q96E93
Q8BVD7;Q9BXJ2
O35250;Q9UPT5
Q99M85;Q9BWW7
O55188;Q13316
Q8BZQ7;Q9UJX6
O55047;Q86UE8
O35929;O75628
P48316;P24522
Q5F259;Q86YJ7
Q8R4P9;Q5T3U5
Q3V0J4;Q8N9V6
Q3UZZ4;Q6UX06
Q80U49;Q9Y4F5
Q9JLM4;Q14202
Q2M2N2;Q6IQ16
Q9JHG6;P53805
Q8R3B7;Q9H0E9
O09043;O96009
P61600;P61599
Q04207;Q04206
Q69ZX6;Q9Y6X9
P28184;P25713
Q9Z1K8;Q9UM01
Q14CH7;Q5JTZ9
Q91W52;Q96HH6
Q8K2W6;Q86YI8
Q9CQ48;Q8WVJ2
Q9CWR2;Q9H7B4
Q9CQN7;Q8IXM3
P97288;Q13639
Q9ES46;Q9HBI1
Q8BHD4;A2A2Y4
Q05306;Q03692
Q3UHI0;Q9H7U1
P15499;P23942
P41149;P33032
Q9JJ28;Q13045
Q5NCM1;Q9Y2C5
Q505D1;O15084
Q8BHS6;Q9UH62
Q30D77;Q17RW2
Q9D1Q1;Q99547
Q8BIS8;Q96EE4
Q7TSV6;Q8NHS2
B2RX14;Q5TAX3
Q9R0N3;Q9BT88
Q5FWH7;Q504Y0
Q8VCX1;P51857
Q5XPI3;Q5XPI4
Q9D180;Q96MR6
P14131;P62249
Q8BME9;Q9NTU7
Q3UHH2;A1A5C7
Q60584;Q9UKT8
Q3U1J1;P0C1Z6
P24270;P04040
Q9D0V8;Q9BW66
Q99N16;Q08477
P31955;P15514
Q9JME9;A6NLU5
A2AJB1;Q5T5S1
Q8BWL5;Q6XE24
P18181;P09326
Q9CQ44;A2RU14
P99027;P05387
P97428;O15492
P30677;O95837
O55098;O94804
Q7TPM5;Q96E40
P45878;P26885
P14148;P18124
Q9JHG1;P57054
Q91X34;Q14032
P97361;Q9NP55
P30935;P32745
Q5NCC3;Q8WV44
Q8K1L0;Q02930
Q6PAT0;Q96EY9
Q9DCB8;Q86U28
Q8BGT0;Q86WC4
Q31125;Q92504
O70577;O15244
P24383;O00755
Q5ND34;Q562E7
Q8BUE7;Q8N307
Q60687;P01225
P62082;P62081
Q8C7U7;Q8NCL4
P60761;Q92686
Q61850;Q99958
Q6NXH8;Q8N6Q8
Q80ZI6;Q6UWE0
Q9CZX0;Q9H9T3
Q9Z1N6;Q6FHJ7
P81122;Q9Y4H2
Q8C0V9;Q96NE9
Q3V1L4;P49902
Q8BYN3;Q13572
Q80T69;Q5VWQ0
Q3UHH1;A7E2V4
Q9JLB4;O60494
Q9DBQ7;Q8IZE3
Q6VVW9;Q6VVX0
Q7TN60;Q7Z403
Q8BKZ9;O00330
Q3UVD5;Q9HBX8
Q8K1Z6;Q14330
Q9D799;Q96DP5
Q8CIC2;O15504
Q8VEB6;Q9H777
Q9JJS7;P51582
A2APC3;Q3SXZ7
Q99NB8;Q9NRR5
Q7TSJ2;Q96JE9
Q8VC90;Q96GR4
Q8K0D7;O00258
P70186;Q99645
Q6NZK8;A2A3K4
Q8C0V0;Q9UKI8
Q3UHD9;Q99490
Q9R182;Q9Y5C1
Q9EPR5;Q96PQ0
Q9CR81;Q9BXU0
Q8BHG1;O43847
Q8BTJ4;Q9Y6X5
P05532;P10721
P63002;Q08117
Q8VDP6;O14735
Q3UY51;Q6ZSA7
Q8BMQ8;Q7L1V2
O89050;Q9UL63
Q8CAL5;P78333
Q9Z0H8;Q9UDT6
Q9WTK7;Q15831
Q8VHK5;Q15049
Q5S248;Q9UL52
Q3UIL6;Q6IQ23
P83917;P83916
Q9DBG7;P08240
Q9JIY2;Q75N03
Q9D1F5;Q6NTE8
Q3UUI3;Q5T1C6
Q9CR46;Q8WVK7
P05555;P11215
Q8K1Z0;O75208
Q9D853;Q5JPI9
Q9CUU3;Q9BX26
P41778;P40424
Q9EQ61;O00541
Q3ULD5;Q9HCC0
Q62270;Q9H3Y6
Q8BGD9;P23588
Q8CII2;O75794
Q80WT2;Q9NQL9
Q921M7;Q9NUQ9
Q9D1G2;Q15126
A2ABV5;O60244
Q8K4T3;Q9C0K7
A2AAJ9;Q5VST9
B2RXC5;Q96SR6
Q9WUK6;Q99592
O35609;O14828
Q14AI0;Q9BVC3
P62918;P62917
Q3T9Z9;Q96AP4
O35600;P78363
P48437;Q92786
Q9WTJ8;Q9Y247
Q6P1H1;Q8NBI2
Q3TAS6;Q5UCC4
P42669;Q00577
Q91X43;Q5HYK7
P34022;P43487
Q8VEH3;Q96BM9
Q9CYX7;Q9Y3B9
Q80ZW2;Q8WUY1
Q14BI7;Q8NDG6
Q8CE33;Q9NVR0
Q8R4K2;Q9NWZ3
Q9EPS3;O94923
Q64323;P37287
P26049;P34903
Q9JJA2;Q96MW5
Q60867;Q13562
Q9DA32;Q8TC36
Q9DA75;Q8NA29
Q59J78;Q8N183
Q91ZE5;Q86SQ3
P52793;P20827
A7RDN6;Q5VYX0
P32300;P41143
Q8R3V6;Q9NWM3
P27046;Q16706
Q8C0M8;Q9UI46
Q3UVU3;Q6XR72
Q91XL3;Q8NBZ7
Q6PCX9;O94972
Q61657;Q5TGS1
Q99N87;P82675
Q8VHD6;O95528
Q9Z1L4;O15537
O88559;O00255
Q9CQT9;Q9BUV8
Q9CPV1;Q96BD8
Q8CGV9;Q63HK5
Q7TS75;Q5JTC6
Q99PD7;Q9HC58
P63037;P31689
O35261;O00716
Q5H8C4;Q96RL7
Q8BUD0;P46093
Q8C827;Q8NB50
Q91WD1;P05423
P58308;O43614
Q3TXZ1;Q86XF7
Q9DAP0;Q96FV0
Q8K485;Q693B1
Q8K409;P06746
Q99N13;Q9UKV0
Q8BLQ9;Q8N3J6
Q3KNK3;Q6BCY4
Q3U3S3;Q8N0S6
Q9WU03;O43291
Q8BRM2;Q5T7V8
Q08EJ0;A1L4L8
Q91V57;P15882
Q9ES89;Q9UBQ6
Q3U497;A8K4G0
P06684;P01031
Q9D1Z2;Q3C1V1
A2RSQ0;Q6ZUT9
Q9D2P4;Q9BTM9
Q8BH79;Q9NW15
O89084;P27815
Q9R1K6;Q9UPC5
Q80XC2;Q96FX7
Q04899;Q07002
Q62470;P26006
P54254;P54253
Q8C5T8;Q9H0I3
Q920C1;Q9BU40
Q6P5F9;O14980
Q91YD4;O94759
Q8BXA1;O00461
Q9QYY8;Q9UBP0
Q9Z218;P42658
Q75UR0;Q75V66
Q3TXX4;Q9P2U7
Q8BGV7;Q8WZ19
Q9ERD6;Q86X27
Q62422;Q92882
Q4VBD9;Q9H116
Q8BXC6;Q86X83
Q5NCS9;Q96C03
Q9ESG6;Q15391
Q8K209;Q9Y653
Q1RLL3;Q8IYJ1
Q8BMP6;Q9H3P7
Q8BLQ0;Q9H5Z6
Q8R4D5;Q7Z2W7
Q5DTM8;Q5VTR2
Q8R5C5;P42025
Q8JZV4;Q96IZ5
Q91X49;Q13021
Q8CGN4;Q6W2J9
Q64143;Q92569
P41241;P41240
Q6P549;O15357
Q9CQ60;O95336
Q91V95;P49190
P10598;P05814
Q9CXE6;O43542
Q61045;P81133
Q8BVN7;Q8N5S1
Q9D9M5;Q8TCD6
Q8CFW1;Q9NQ90
Q68FL4;Q96HN2
P70314;P78337
Q9EPW4;O75596
P56477;Q13568
Q05685;P14207
Q91V16;Q6IPR1
P50207;P31276
Q8VDR5;Q0VDI3
Q64213;Q15637
Q9DAM3;Q9BQS6
A1L3T7;Q96MK2
Q9CRB0;Q9Y343
Q52KF3;Q08AE8
B7ZCC9;Q8IZF6
Q8C5N5;Q9BRP1
P26231;P35221
Q8BS45;A0AVF1
Q8R4H7;Q8N159
Q8CHX6;O43462
Q8K1A5;Q5BJD5
Q08091;P51911
Q9CQR7;Q9NZ42
Q9CWD3;P0C025
Q9ESJ0;Q9C0E2
Q924K8;Q9BTC8
Q03385;Q12967
Q3TUU5;Q5JUR7
Q9JJC6;Q5EBL4
P49698;P41235
Q6PAL8;Q6IQ26
Q8BHN9;Q96F83
O35621;Q92871
Q9JI57;Q9UHL9
Q8BZB3;Q2M3C6
P04925;P04156
Q8VE92;Q9BQ04
Q3UQS2;Q8N8F7
Q8CGY8;O15294
Q80ZI2;Q5QGT7
Q01147;P16220
Q80U30;Q2KHT3
Q8R2R1;Q9Y6A1
Q6P6M7;Q9HD40
O08989;O14807
Q9R0H5;Q3SY84
P11983;P17987
Q9CQ01;O00584
Q9CQ65;Q13126
Q9CXF7;Q86WJ1
Q62028;Q13018
Q02526;Q8N8Y5
P56383;Q06055
Q9CQW2;Q9NVJ2
Q9QY31;Q3KNW1
Q3U095;Q96DL1
Q8BVT6;A8MPX8
Q9CQF4;Q9P0P8
P49769;P49768
P48036;P08758
Q9WTR6;Q9UPY5
O70230;P52747
Q8BTY1;Q16773
Q3V4B5;Q7Z4G1
Q61670;Q14774
Q9D0A0;Q7L5Y6
Q6NZQ4;Q6ZW49
Q52KE7;Q9UK58
Q9JIK5;Q9NR30
Q65Z93;Q96NS1
Q60795;Q16236
Q9EPK2;O75695
P26952;P26951
Q4FJU9;Q8WWA1
Q9CQ02;Q9H0A8
Q8R1F5;Q5T013
O35484;O14977
O35084;O15528
Q80WE4;Q96Q89
Q80X44;O43167
Q8BH57;Q8TAF3
Q99M73;Q9NSB2
Q9WTK5;Q00653
Q8BH35;P07358
Q99L13;P31937
Q64010;P46108
Q62431;Q99856
P02830;P31268
P22724;P56705
P09450;P17275
P50571;P18505
Q8BHH1;Q8NBQ7
Q3TVW5;Q9BT92
Q3USL1;Q8NEP7
Q7TN37;Q8TD43
Q91YQ5;P04843
Q9D722;Q9NX31
Q9D711;O00625
Q4ZJM7;A6NHN0
Q8VHH7;O60266
Q9CR26;Q9NP79
O35387;O00165
Q5GH67;Q5GH76
P48031;P52951
Q8C190;Q9Y2B5
Q9R007;Q9NY25
Q8VIG6;Q9BWF2
Q8BH44;Q9UQ03
Q9D8K3;Q96Q80
Q3UMB9;Q2M389
Q9EQR3;Q92952
Q9WV60;P49841
A2AL36;Q7Z7A1
O54991;P78357
O08675;O00254
Q8BTI8;Q9UQ35
P61924;P61923
Q8CFT2;Q9UPS6
P28271;P21399
Q99LC9;Q13608
Q9DA19;Q86X95
Q9DAI6;Q49AJ0
Q78IQ7;Q6P5W5
Q9D518;Q96M60
Q8CG76;O43488
Q921I9;Q9NPD3
Q80U12;O43147
Q9DBE8;Q9H553
Q99NH8;Q9NZC2
Q9WU19;Q9UJM8
Q6P9R1;Q8N8A6
P56389;P32320
Q9JK48;Q9Y371
Q9QXT9;Q96LW1
Q8BYA0;Q9BTW9
P43688;A6NCS4
Q67E05;P17213
Q8K2T1;Q9HBL8
Q3V3I5;Q0P5P2
O89116;Q96AJ9
Q99MN9;P05166
Q8K4P8;Q76N89
A6BLY7;Q7Z3Y7
Q61081;Q16543
Q9CYK2;Q16769
Q8K274;Q9HA64
Q7TPR4;P12814
Q8R0W1;Q9C0C6
O89079;O14579
O88978;Q86X45
Q61771;O15066
Q8BKX7;Q86VK4
O54927;Q9Y6I7
A6PWV5;A6NKF2
P97376;Q14331
Q810F8;O75333
Q9ERI2;P51159
Q8BG07;Q96BZ4
Q6PEM8;Q96NT5
P12968;P10997
Q9CQB2;Q9BUT9
Q9R1S0;Q9UPM9
Q06986;O43255
Q9D8U2;Q96HV5
Q91WI7;Q969R8
Q8CDE2;Q13939
Q14B25;Q7RTY5
Q9CWY3;Q8TBK2
P18826;P46020
P09025;P31273
P00860;P11926
P59222;Q53GT1
Q91VV4;Q9H6A0
Q9D3J5;Q5VYY1
O70200;P55008
Q7TNC4;Q9Y383
Q7TQ40;Q96T25
Q02384;Q07890
Q9CQK3;Q8NG50
Q60829;Q9UD71
Q61526;P21860
P56380;P50583
P33175;Q12840
Q8BGY5;Q9NV12
Q9CXA2;Q96EM0
Q5SUC9;O75880
Q62371;Q16832
Q9ET30;Q9HD45
A2AFR3;Q14CM0
Q9ESS2;Q9HCT0
P13020;P06396
Q80U19;Q86T65
Q8BXL7;Q13795
P21460;P01034
Q3U515;Q96DN2
P51942;P21941
Q60750;P21709
Q9D4C6;Q9P2M1
O09112;Q13202
P70452;Q12846
O08755;Q9UBC0
Q8CBR6;Q8WUA8
Q80UV9;P21675
Q9QWR8;P17050
Q8BMA5;Q14207
Q8C3M9;Q0P641
Q8VE04;Q86TA1
Q60749;Q07666
Q64732;Q99853
Q62036;Q9UPN4
Q8R1C6;Q9BUU2
Q8BI72;Q9NXV6
Q9QYG0;Q9UN36
Q8BWZ3;Q14CX7
Q9QX96;Q9Y467
P70325;P57082
O70324;P36021
Q9CXX0;Q96M11
Q62077;P19174
Q8R1T1;Q8WUX9
P62627;Q9NP97
Q61088;Q9ULV1
Q8BYI6;Q7L5N7
P15702;P16150
P52633;P42226
Q9D6U8;Q96A26
Q9Z2L7;Q8IUI8
Q8C8J0;Q8N412
Q3UYR4;Q6ZVH7
Q8BG81;Q9BY77
Q3B7Z2;P22059
Q61502;Q15329
Q8K1T1;Q8N386
Q9D880;Q3ZCQ8
Q8BGA9;Q15070
Q9DCM0;O95571
Q9WVH9;Q9UBX5
Q9D6W7;Q6UWJ8
Q8R5A6;Q8WUA7
Q80VU4;P34130
Q8BGA2;Q6ZUX7
Q9QWW1;Q9NSB8
Q62192;Q99467
P32114;Q02962
Q99LL5;Q13610
Q8CF93;Q8IUC8
P81183;Q9UKS7
Q9D8N3;Q8N2M4
Q69ZF8;Q9HCI7
P18654;P51812
Q9D2Q3;Q9H8K7
P47867;Q8WXD2
Q6WBX7;Q6WBX8
Q9Z0V2;Q9NZV8
P54103;Q99543
Q8K177;Q53RY4
P07141;P09603
O54885;O43914
P55200;Q03164
Q9JLF1;Q9UN88
Q7TMI3;Q96PU4
Q3UVL4;Q9UID3
B2RR83;Q9H6S0
Q91YN0;Q9NQ89
Q8VDX6;Q9Y2B1
P97329;O95235
Q8BX90;Q9Y2H6
P58404;Q9NRL3
Q5U5Q9;Q96RL1
O35350;P07384
Q9R157;Q9Y3Q7
Q99LN9;O75264
Q8BZK4;A4IF30
A2A5I3;Q9H3Y0
Q9DB10;Q9H4I9
P35980;Q07020
Q91XU3;Q8TBX8
P35492;P42357
P49749;Q03828
